Fiscal_Year,Year,K12_M,PostSec_M,Source,Source_Detail,Source_URL,Population,CPI,Total_M,Budget_Status,CPI_Deflator,K12_PerCapita,K12_Real_M,K12_Real_PerCapita,K12_Index,K12_Real_Index,PostSec_PerCapita,PostSec_Real_M,PostSec_Real_PerCapita,PostSec_Index,PostSec_Real_Index,Total_PerCapita,Total_Real_M,Total_Real_PerCapita,Total_Index,Total_Real_Index,Pop_Index
2012-13,2012,6179,2856,"Alberta Budget 2012 Fiscal Plan, Operating Expense by Ministry",Education; Advanced Education and Technology,https://open.alberta.ca/dataset/f81b6318-5563-42a6-9074-79f8d9dd5071/resource/d7105925-1519-4d3c-84a4-f6e2f26d1645/download/fiscal-plan-complete.pdf,3822425,127.1,9035,Budget-plan figure,1.0,1616.513077431212,6179.0,1616.513077431212,100.0,100.0,747.1696632373428,2856.0,747.1696632373428,100.0,100.0,2363.6827406685547,9035.0,2363.6827406685547,100.0,100.0,100.0
2013-14,2013,6210,2682,"Alberta Budget 2013 Fiscal Plan, Ministry Expense by Function",Education; Enterprise and Advanced Education,https://open.alberta.ca/dataset/b339816b-1492-4c31-8845-4e25029e887b/resource/27a7dced-6aa7-42e0-aac7-dfe882b9499a/download/fiscal-plan-complete.pdf,3917941,128.6,8892,Budget-plan figure,1.011801730920535,1585.0162113212016,6137.566096423017,1566.5284639107679,100.50169930409452,99.32943998095189,684.5432332952436,2650.7169517884918,676.5586699208824,93.90756302521008,92.81221819987717,2269.559444616445,8788.28304821151,2243.08713383165,98.41726618705036,97.26931984738805,102.4988325474012
2023-24,2023,8836,5604,"Alberta Budget 2023 Fiscal Plan, Expense by Ministry",Education; Advanced Education,https://open.alberta.ca/dataset/e46d1308-612d-4f47-8801-507ae3f8a88d/resource/ece5c51b-d53f-4354-b6f1-41b88eb44640/download/budget-2023-fiscal-plan-expense-tables-2023-26.xlsx,4596901,164.4,14440,Budget-plan figure,1.2934697088906375,1922.1645190966697,6831.238442822383,1486.0529828296026,143.00048551545558,110.5557281570219,1219.0821599159956,4332.532846715328,942.4899180372445,196.21848739495798,151.6993293667832,3141.2466790126655,11163.771289537712,2428.5429008668475,159.8229109020476,123.561386713201,120.26137857511921
2024-25,2024,9252,6305,"Alberta Budget 2024 Fiscal Plan, Expense by Ministry",Education; Advanced Education,https://open.alberta.ca/dataset/e46d1308-612d-4f47-8801-507ae3f8a88d/resource/c0dacc94-466a-4e44-81cb-443593ee10ac/download/budget-2024-fiscal-plan-expense-tables-2024-27.xlsx,4801806,169.2,15557,Budget-plan figure,1.3312352478363494,1926.7750508871038,6949.936170212765,1447.358800045809,149.7329664994336,112.4767141966785,1313.0476324949404,4736.2027186761225,986.3377901306555,220.76330532212887,165.8334285250743,3239.822683382044,11686.138888888889,2433.6965901764647,172.18594355285,129.34298714874254,125.62198081061106
2025-26,2025,9883,6635,"Alberta Budget 2025 Fiscal Plan, Expense by Ministry",Education; Advanced Education,https://open.alberta.ca/dataset/e46d1308-612d-4f47-8801-507ae3f8a88d/resource/657bef12-8fec-448a-91b4-e02f1b66239a/download/budget-2025-fiscal-plan-expense-tables-2025-28.xlsx,4988181,172.1,16518,Budget-plan figure,1.3540519276160503,1981.2833576006965,7298.8338175479375,1463.2255360316592,159.94497491503478,118.12322086984848,1330.1441948477811,4900.107495642069,982.3435628422603,232.31792717086836,171.572391303994,3311.427552448478,12198.941313190006,2445.5690988739193,182.8223574986165,135.0187195704483,130.497812252693
