observation_id,series_id,year,period,amount_m,status,budget_basis,coverage_id,segment,source_id,locator,selected,real_amount_m,sector,measure,learners,learner_unit,enrolment_status,financial_segment,enrolment_segment,real_per_learner,gap_reason,denominator_id,learner_source_id,note
k12_expenses_2015,k12_operating_expenses,2015,2015-16,7221.979330,actual,not_applicable,k12_alberta_reporting_authorities,,k12_2015_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6865.471749,k12,expenses,,headcount,,k12_complete_pre_aro,,,No approved learner denominator for this period.,k12_matched_headcount,,
k12_expenses_2016,k12_operating_expenses,2016,2016-17,7401.973042,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro|k12_alberta_reporting_authorities,k12_2016_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6958.511639,k12,expenses,651697.000000,headcount,final,k12_complete_pre_aro,k12_alberta_reporting_authorities,10677.525966,,k12_matched_headcount,k12_enrolment_2016,
k12_expenses_2017,k12_operating_expenses,2017,2017-18,7579.158219,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro|k12_alberta_reporting_authorities,k12_2017_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,7016.103493,k12,expenses,664929.000000,headcount,final,k12_complete_pre_aro,k12_alberta_reporting_authorities,10551.658137,,k12_matched_headcount,k12_enrolment_2017,
k12_expenses_2018,k12_operating_expenses,2018,2018-19,7687.441435,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro|k12_alberta_reporting_authorities,k12_2018_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6949.315835,k12,expenses,673765.000000,headcount,final,k12_complete_pre_aro,k12_alberta_reporting_authorities,10314.153800,,k12_matched_headcount,k12_enrolment_2018,
k12_expenses_2019,k12_operating_expenses,2019,2019-20,7331.164960,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro|k12_alberta_reporting_authorities,k12_2019_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6511.467969,k12,expenses,683586.000000,headcount,final,k12_complete_pre_aro,k12_alberta_reporting_authorities,9525.455421,,k12_matched_headcount,k12_enrolment_2019,
k12_expenses_2020,k12_operating_expenses,2020,2020-21,7460.607392,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro|k12_alberta_reporting_authorities,k12_2020_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6553.166548,k12,expenses,671641.000000,headcount,final,k12_complete_pre_aro,k12_alberta_reporting_authorities,9756.948352,,k12_matched_headcount,k12_enrolment_2020,
k12_expenses_2021,k12_operating_expenses,2021,2021-22,7718.891331,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro|k12_alberta_reporting_authorities,k12_2021_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6571.139238,k12,expenses,679736.000000,headcount,final,k12_complete_pre_aro,k12_alberta_reporting_authorities,9667.193201,,k12_matched_headcount,k12_enrolment_2021,
k12_expenses_2022,k12_operating_expenses,2022,2022-23,8010.439318,actual,not_applicable,k12_without_valhalla,k12_2022_without_valhalla_aro|k12_without_valhalla,k12_2022_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6407.343218,k12,expenses,700443.000000,headcount,final,k12_2022_without_valhalla_aro,k12_without_valhalla,9147.558356,,k12_matched_headcount,k12_enrolment_2022,Valhalla excluded to match the financial rollup.
k12_expenses_2023,k12_operating_expenses,2023,2023-24,8463.238670,actual,not_applicable,k12_alberta_reporting_authorities,k12_2023_complete_aro_draft_northland|k12_alberta_reporting_authorities,k12_2023_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6555.013010,k12,expenses,726625.000000,headcount,final,k12_2023_complete_aro_draft_northland,k12_alberta_reporting_authorities,9021.177375,,k12_matched_headcount,k12_enrolment_2023,
postsec_grants_2012_ar2013,postsec_operating_grants,2012,2012-13,2223.784000,actual,not_applicable,alberta_public20_excluding_banff,,ae_ar_2013,"PDF p68, Funding Provided to Post-Secondary Institutions table, Operating Grants 2013 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2223.784000,postsec,grants,,FLE,,department_programs_2012_2013,,,No approved learner denominator for this period.,postsec_public20_approved_fle,,
postsec_grants_2013_ar2014,postsec_operating_grants,2013,2013-14,2138.075000,actual,not_applicable,alberta_public20_excluding_banff,,ae_ar_2014,"PDF p74, Funding Provided to Post-Secondary Institutions table, Operating Grants 2014 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2108.218251,postsec,grants,,FLE,,department_programs_2012_2013,,,No approved learner denominator for this period.,postsec_public20_approved_fle,,
postsec_grants_2014_ar2015,postsec_operating_grants,2014,2014-15,2139.437000,actual,not_applicable,alberta_public20_excluding_banff,,ae_ar_2015,"PDF p81, Funding Provided to Post-Secondary Institutions table, Operating Grants 2015 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2056.901987,postsec,grants,,FLE,,department_programs_2014_2021,,,No approved learner denominator for this period.,postsec_public20_approved_fle,,
postsec_grants_2015_ar2016,postsec_operating_grants,2015,2015-16,2242.513000,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021|fle_2015_2016,ae_ar_2016,"PDF p49, Funding Provided to Post-Secondary Institutions table, Operating Grants 2016 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2131.813031,postsec,grants,159321.995000,FLE,final,department_programs_2014_2021,fle_2015_2016,13380.531868,,postsec_public20_approved_fle,alberta_lers_fle_2024_25,Olds College: Reporting cleanup at Olds College led to the removal of pre-packaged enrolments (which are not to be reported) in 2015-16.  This reporting change caused an artificial enrolment drop (~500 learners no longer reported).
