institution,year,period,fiscal_end,status,total_expenses_thousands,amortization_tangible_thousands,amortization_intangible_thousands,identified_capital_disposal_loss_thousands,expenses_excluding_amortization_m,expenses_excluding_amortization_and_identified_disposal_m,source_id,locator,notes
Grant MacEwan University,2023,2023-24,2024 March 31,actual,260105,17098,0,1532,243.007,241.475,macewan2024-25,PDF p88; financial statement printed p82; Expense(s) by object; 2024 Actual column,"Actual includes all institutional activities including ancillary services, research and scholarships; capital acquisition excluded by accrual statement design. Source comparatives may be reclassified for current presentation."
Grant MacEwan University,2024,2024-25,2025 March 31,actual,278164,17322,0,0,260.842,260.842,macewan2024-25,PDF p88; financial statement printed p82; Expense(s) by object; 2025 Actual column,"Actual includes all institutional activities including ancillary services, research and scholarships; capital acquisition excluded by accrual statement design. Source comparatives may be reclassified for current presentation."
Mount Royal University,2023,2023-24,2024 March 31,actual,251608,15692,32,0,235.884,235.884,mru2024-25,PDF p72; financial statement printed p31; Expense(s) by object; 2024 Actual column,"Actual includes all institutional activities including ancillary services, research and scholarships; capital acquisition excluded by accrual statement design. Source comparatives may be reclassified for current presentation."
Mount Royal University,2024,2024-25,2025 March 31,actual,270508,16352,138,0,254.018,254.018,mru2024-25,PDF p72; financial statement printed p31; Expense(s) by object; 2025 Actual column,"Actual includes all institutional activities including ancillary services, research and scholarships; capital acquisition excluded by accrual statement design. Source comparatives may be reclassified for current presentation."
Alberta University of the Arts,2023,2023-24,2024 June 30,actual,26407,1338,0,0,25.069,25.069,auarts2024-25,PDF p52; financial statement printed p24; Expense(s) by object; 2024 Actual column,"Actual includes all institutional activities including ancillary services, research and scholarships; capital acquisition excluded by accrual statement design. Source comparatives may be reclassified for current presentation."
Alberta University of the Arts,2024,2024-25,2025 June 30,actual,27403,1508,0,0,25.895,25.895,auarts2024-25,PDF p52; financial statement printed p24; Expense(s) by object; 2025 Actual column,"Actual includes all institutional activities including ancillary services, research and scholarships; capital acquisition excluded by accrual statement design. Source comparatives may be reclassified for current presentation."
