year,period,institution,sector,fle,public20,source_id,locator
2016,2016-2017,Northern Alberta Institute of Technology,Polytechnic Institutions,14230.831,True,alberta_lers_fle_2024_25,By Sector and Institution!E54
2016,2016-2017,Northwestern Polytechnic,Polytechnic Institutions,1843.675,True,alberta_lers_fle_2024_25,By Sector and Institution!E55
2016,2016-2017,Red Deer Polytechnic,Polytechnic Institutions,3863.134,True,alberta_lers_fle_2024_25,By Sector and Institution!E56
2016,2016-2017,Southern Alberta Institute of Technology,Polytechnic Institutions,13946.246,True,alberta_lers_fle_2024_25,By Sector and Institution!E57
2016,2016-2017,Alberta University of the Arts,Undergraduate Universities,927.85,True,alberta_lers_fle_2024_25,By Sector and Institution!E59
2016,2016-2017,Grant MacEwan University,Undergraduate Universities,12623.224,True,alberta_lers_fle_2024_25,By Sector and Institution!E60
2016,2016-2017,Mount Royal University,Undergraduate Universities,9533.811,True,alberta_lers_fle_2024_25,By Sector and Institution!E61
2017,2017-2018,Athabasca University,Comprehensive Academic and Research Universities,8738.833,True,alberta_lers_fle_2024_25,By Sector and Institution!E64
2017,2017-2018,University of Alberta,Comprehensive Academic and Research Universities,35382.515,True,alberta_lers_fle_2024_25,By Sector and Institution!E65
2017,2017-2018,University of Calgary,Comprehensive Academic and Research Universities,29144.815,True,alberta_lers_fle_2024_25,By Sector and Institution!E66
2017,2017-2018,University of Lethbridge,Comprehensive Academic and Research Universities,6989.932,True,alberta_lers_fle_2024_25,By Sector and Institution!E67
2017,2017-2018,Bow Valley College,Comprehensive Community Colleges,7803.839,True,alberta_lers_fle_2024_25,By Sector and Institution!E69
2017,2017-2018,Keyano College,Comprehensive Community Colleges,1044.836,True,alberta_lers_fle_2024_25,By Sector and Institution!E70
2017,2017-2018,Lakeland College,Comprehensive Community Colleges,2140.867,True,alberta_lers_fle_2024_25,By Sector and Institution!E71
2017,2017-2018,Medicine Hat College,Comprehensive Community Colleges,2022.292,True,alberta_lers_fle_2024_25,By Sector and Institution!E72
2017,2017-2018,NorQuest College,Comprehensive Community Colleges,6520.577,True,alberta_lers_fle_2024_25,By Sector and Institution!E73
2017,2017-2018,Northern Lakes College,Comprehensive Community Colleges,1339.586,True,alberta_lers_fle_2024_25,By Sector and Institution!E74
2017,2017-2018,Olds College,Comprehensive Community Colleges,1246.579,True,alberta_lers_fle_2024_25,By Sector and Institution!E75
2017,2017-2018,Portage College,Comprehensive Community Colleges,936.339,True,alberta_lers_fle_2024_25,By Sector and Institution!E76
2017,2017-2018,Ambrose University,Independent Academic Institutions,512.253,False,alberta_lers_fle_2024_25,By Sector and Institution!E78
2017,2017-2018,Burman University,Independent Academic Institutions,396.711,False,alberta_lers_fle_2024_25,By Sector and Institution!E79
2017,2017-2018,Concordia University of Edmonton,Independent Academic Institutions,1659.668,False,alberta_lers_fle_2024_25,By Sector and Institution!E80
2017,2017-2018,"King's University, The",Independent Academic Institutions,654.34,False,alberta_lers_fle_2024_25,By Sector and Institution!E81
2017,2017-2018,St. Mary's University,Independent Academic Institutions,738.15,False,alberta_lers_fle_2024_25,By Sector and Institution!E82
2017,2017-2018,Lethbridge Polytechnic,Polytechnic Institutions,4005.999,True,alberta_lers_fle_2024_25,By Sector and Institution!E84
2017,2017-2018,Northern Alberta Institute of Technology,Polytechnic Institutions,13750.246,True,alberta_lers_fle_2024_25,By Sector and Institution!E85
2017,2017-2018,Northwestern Polytechnic,Polytechnic Institutions,1727.208,True,alberta_lers_fle_2024_25,By Sector and Institution!E86
2017,2017-2018,Red Deer Polytechnic,Polytechnic Institutions,3778.409,True,alberta_lers_fle_2024_25,By Sector and Institution!E87
2017,2017-2018,Southern Alberta Institute of Technology,Polytechnic Institutions,13343.675,True,alberta_lers_fle_2024_25,By Sector and Institution!E88
2017,2017-2018,Alberta University of the Arts,Undergraduate Universities,904.2,True,alberta_lers_fle_2024_25,By Sector and Institution!E90
2017,2017-2018,Grant MacEwan University,Undergraduate Universities,12916.522,True,alberta_lers_fle_2024_25,By Sector and Institution!E91
2017,2017-2018,Mount Royal University,Undergraduate Universities,9809.156,True,alberta_lers_fle_2024_25,By Sector and Institution!E92
2018,2018-2019,Athabasca University,Comprehensive Academic and Research Universities,9375.015,True,alberta_lers_fle_2024_25,By Sector and Institution!E95
2018,2018-2019,University of Alberta,Comprehensive Academic and Research Universities,36104.846,True,alberta_lers_fle_2024_25,By Sector and Institution!E96
2018,2018-2019,University of Calgary,Comprehensive Academic and Research Universities,30140.605,True,alberta_lers_fle_2024_25,By Sector and Institution!E97
2018,2018-2019,University of Lethbridge,Comprehensive Academic and Research Universities,6989.031,True,alberta_lers_fle_2024_25,By Sector and Institution!E98
2018,2018-2019,Bow Valley College,Comprehensive Community Colleges,8388.856,True,alberta_lers_fle_2024_25,By Sector and Institution!E100
2018,2018-2019,Keyano College,Comprehensive Community Colleges,1076.449,True,alberta_lers_fle_2024_25,By Sector and Institution!E101
2018,2018-2019,Lakeland College,Comprehensive Community Colleges,2145.817,True,alberta_lers_fle_2024_25,By Sector and Institution!E102
2018,2018-2019,Medicine Hat College,Comprehensive Community Colleges,1955.444,True,alberta_lers_fle_2024_25,By Sector and Institution!E103
2018,2018-2019,NorQuest College,Comprehensive Community Colleges,7083.375,True,alberta_lers_fle_2024_25,By Sector and Institution!E104
2018,2018-2019,Northern Lakes College,Comprehensive Community Colleges,1268.525,True,alberta_lers_fle_2024_25,By Sector and Institution!E105
2018,2018-2019,Olds College,Comprehensive Community Colleges,1438.013,True,alberta_lers_fle_2024_25,By Sector and Institution!E106
2018,2018-2019,Portage College,Comprehensive Community Colleges,952.15,True,alberta_lers_fle_2024_25,By Sector and Institution!E107
2018,2018-2019,Ambrose University,Independent Academic Institutions,487.619,False,alberta_lers_fle_2024_25,By Sector and Institution!E109
2018,2018-2019,Burman University,Independent Academic Institutions,405.444,False,alberta_lers_fle_2024_25,By Sector and Institution!E110
2018,2018-2019,Concordia University of Edmonton,Independent Academic Institutions,1878.133,False,alberta_lers_fle_2024_25,By Sector and Institution!E111
2018,2018-2019,"King's University, The",Independent Academic Institutions,682.449,False,alberta_lers_fle_2024_25,By Sector and Institution!E112
