year,period,institution,sector,fle,public20,source_id,locator
2023,2023-2024,Lethbridge Polytechnic,Polytechnic Institutions,4758.714,True,alberta_lers_fle_2024_25,By Sector and Institution!E270
2023,2023-2024,Northern Alberta Institute of Technology,Polytechnic Institutions,14636.169,True,alberta_lers_fle_2024_25,By Sector and Institution!E271
2023,2023-2024,Northwestern Polytechnic,Polytechnic Institutions,1986.223,True,alberta_lers_fle_2024_25,By Sector and Institution!E272
2023,2023-2024,Red Deer Polytechnic,Polytechnic Institutions,4496.777,True,alberta_lers_fle_2024_25,By Sector and Institution!E273
2023,2023-2024,Southern Alberta Institute of Technology,Polytechnic Institutions,18402.318,True,alberta_lers_fle_2024_25,By Sector and Institution!E274
2023,2023-2024,Alberta University of the Arts,Undergraduate Universities,1015.2,True,alberta_lers_fle_2024_25,By Sector and Institution!E276
2023,2023-2024,Grant MacEwan University,Undergraduate Universities,13480.761,True,alberta_lers_fle_2024_25,By Sector and Institution!E277
2023,2023-2024,Mount Royal University,Undergraduate Universities,11560.536,True,alberta_lers_fle_2024_25,By Sector and Institution!E278
2024,2024-2025,Athabasca University,Comprehensive Academic and Research Universities,12640.8,True,alberta_lers_fle_2024_25,By Sector and Institution!E281
2024,2024-2025,University of Alberta,Comprehensive Academic and Research Universities,45332.995,True,alberta_lers_fle_2024_25,By Sector and Institution!E282
2024,2024-2025,University of Calgary,Comprehensive Academic and Research Universities,36391.105,True,alberta_lers_fle_2024_25,By Sector and Institution!E283
2024,2024-2025,University of Lethbridge,Comprehensive Academic and Research Universities,7504.502,True,alberta_lers_fle_2024_25,By Sector and Institution!E284
2024,2024-2025,Bow Valley College,Comprehensive Community Colleges,9546.893,True,alberta_lers_fle_2024_25,By Sector and Institution!E286
2024,2024-2025,Keyano College,Comprehensive Community Colleges,2612.242,True,alberta_lers_fle_2024_25,By Sector and Institution!E287
2024,2024-2025,Lakeland College,Comprehensive Community Colleges,2610.616,True,alberta_lers_fle_2024_25,By Sector and Institution!E288
2024,2024-2025,Medicine Hat College,Comprehensive Community Colleges,2220.034,True,alberta_lers_fle_2024_25,By Sector and Institution!E289
2024,2024-2025,NorQuest College,Comprehensive Community Colleges,11161.329,True,alberta_lers_fle_2024_25,By Sector and Institution!E290
2024,2024-2025,Northern Lakes College,Comprehensive Community Colleges,1842.253,True,alberta_lers_fle_2024_25,By Sector and Institution!E291
2024,2024-2025,Olds College,Comprehensive Community Colleges,2131.87,True,alberta_lers_fle_2024_25,By Sector and Institution!E292
2024,2024-2025,Portage College,Comprehensive Community Colleges,1726.981,True,alberta_lers_fle_2024_25,By Sector and Institution!E293
2024,2024-2025,Ambrose University,Independent Academic Institutions,483.616,False,alberta_lers_fle_2024_25,By Sector and Institution!E295
2024,2024-2025,Burman University,Independent Academic Institutions,334.135,False,alberta_lers_fle_2024_25,By Sector and Institution!E296
2024,2024-2025,Concordia University of Edmonton,Independent Academic Institutions,2145.652,False,alberta_lers_fle_2024_25,By Sector and Institution!E297
2024,2024-2025,"King's University, The",Independent Academic Institutions,694.562,False,alberta_lers_fle_2024_25,By Sector and Institution!E298
2024,2024-2025,MaKami College,Independent Academic Institutions,1683.28,False,alberta_lers_fle_2024_25,By Sector and Institution!E299
2024,2024-2025,St. Mary's University,Independent Academic Institutions,846.042,False,alberta_lers_fle_2024_25,By Sector and Institution!E300
2024,2024-2025,Lethbridge Polytechnic,Polytechnic Institutions,4804.436,True,alberta_lers_fle_2024_25,By Sector and Institution!E302
2024,2024-2025,Northern Alberta Institute of Technology,Polytechnic Institutions,17179.607,True,alberta_lers_fle_2024_25,By Sector and Institution!E303
2024,2024-2025,Northwestern Polytechnic,Polytechnic Institutions,2227.207,True,alberta_lers_fle_2024_25,By Sector and Institution!E304
2024,2024-2025,Red Deer Polytechnic,Polytechnic Institutions,4949.882,True,alberta_lers_fle_2024_25,By Sector and Institution!E305
2024,2024-2025,Southern Alberta Institute of Technology,Polytechnic Institutions,19596.168,True,alberta_lers_fle_2024_25,By Sector and Institution!E306
2024,2024-2025,Alberta University of the Arts,Undergraduate Universities,1028.1,True,alberta_lers_fle_2024_25,By Sector and Institution!E308
2024,2024-2025,Grant MacEwan University,Undergraduate Universities,14487.505,True,alberta_lers_fle_2024_25,By Sector and Institution!E309
2024,2024-2025,Mount Royal University,Undergraduate Universities,11947.614,True,alberta_lers_fle_2024_25,By Sector and Institution!E310
