Year,CPI,Source,Note
2012,127.1,Statistics Canada Table 18-10-0005-01; https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000501,"Alberta all-items CPI, annual average, 2002=100"
2013,128.6,Statistics Canada Table 18-10-0005-01; https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000501,"Alberta all-items CPI, annual average, 2002=100"
2023,164.4,Statistics Canada Table 18-10-0005-01; https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000501,"Alberta all-items CPI, annual average, 2002=100"
2024,169.2,Statistics Canada Table 18-10-0005-01; https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000501,"Alberta all-items CPI, annual average, 2002=100"
2025,172.1,Statistics Canada Table 18-10-0005-01; https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000501,"Alberta all-items CPI, annual average, 2002=100"
